Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,1000uF,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100nF,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,M3,
J1,PinHeader_1x04_P2.54mm_Vertical,1,LED 1 5V/GND/DIN/DOUT,
J2,PinHeader_1x04_P2.54mm_Vertical,1,LED 2 5V/GND/DIN/DOUT,
J3,PinHeader_1x04_P2.54mm_Vertical,1,LED 3 5V/GND/DIN/DOUT,
J4,PinHeader_1x04_P2.54mm_Vertical,1,LED 4 5V/GND/DIN/DOUT,
J5,PinHeader_1x04_P2.54mm_Vertical,1,LED 5 5V/GND/DIN/DOUT,
J6,PinHeader_1x04_P2.54mm_Vertical,1,LED 6 5V/GND/DIN/DOUT,
J7,PinHeader_1x04_P2.54mm_Vertical,1,LED 7 5V/GND/DIN/DOUT,
J8,PinHeader_1x04_P2.54mm_Vertical,1,LED 8 5V/GND/DIN/DOUT,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,390R,
TP1,TestPoint_Plated_Hole_D2.0mm,1,+5V TEST,
TP2,TestPoint_Plated_Hole_D2.0mm,1,GND TEST,
TP3,TestPoint_Plated_Hole_D2.0mm,1,GPIO4 TEST,
TP4,TestPoint_Plated_Hole_D2.0mm,1,DATA5V TEST,
TP5,TestPoint_Plated_Hole_D2.0mm,1,LED8 DOUT,
U1,ESP32-C3-SUPER-MINI-SOCKET,1,ESP32-C3-SUPER-MINI,
U2,DIP-14_W7.62mm_Socket,1,74AHCT125,
