Designator,Mid X,Mid Y,Rotation,Layer
C1,38.0,-27.5,270.0,top
C2,52.0,-30.0,180.0,top
H1,24.0,-24.0,0.0,top
H2,71.0,-24.0,0.0,top
H3,24.0,-71.0,0.0,top
H4,71.0,-71.0,0.0,top
J1,30.0,-63.81,0.0,top
J2,35.0,-63.809999,0.0,top
J3,40.0,-63.81,0.0,top
J4,45.0,-63.81,0.0,top
J5,50.0,-63.81,0.0,top
J6,55.0,-63.81,0.0,top
J7,60.0,-63.81,0.0,top
J8,65.0,-63.81,0.0,top
R1,35.08,-54.7,180.0,top
TP1,30.5,-25.0,0.0,top
TP2,30.5,-30.5,0.0,top
TP3,45.5,-27.5,0.0,top
TP4,24.0,-60.0,0.0,top
TP5,65.0,-51.5,0.0,top
U1,31.31,-43.0,90.0,top
U2,50.69,-43.005001,0.0,top
